,topics
0,"{'topics': [['states', 'one', 'city', 'district', 'located', 'county', 'united', 'american', 'station', 'national', 'known', 'also'], ['district', 'state', 'town', 'municipality', 'township', 'population', 'area', 'states', 'county', 'census', 'united', 'city'], ['native', 'found', 'tropical', 'south', 'municipality', 'known', 'one', 'season', 'also', 'genus', 'family', 'species']]}"
1,"{'topics': [['located', 'state', 'town', 'municipality', 'township', 'area', 'city', 'population', 'states', 'county', 'united', 'census'], ['area', 'south', 'town', 'river', 'building', 'railway', 'historic', 'county', 'located', 'city', 'district', 'station'], ['republic', 'one', 'air', 'army', 'district', 'found', 'family', 'species', 'known', 'genus', 'municipality', 'also'], ['america', 'leaves', 'flowers', 'tree', 'plant', 'species', 'flowering', 'known', 'family', 'native', 'plants', 'genus'], ['uss', 'service', 'states', 'first', 'united', 'ship', 'built', 'air', 'aircraft', 'navy', 'world', 'war'], ['former', 'championships', 'played', 'midfielder', 'world', 'professional', 'team', 'plays', 'footballer', 'club', 'football', 'player'], ['singer', 'actor', 'american', 'best', 'member', 'also', 'served', 'politician', 'band', 'first', 'film', 'known']]}"
2,"{'topics': [['us', 'state', 'town', 'township', 'county', 'population', 'townships', 'united', 'city', 'census', 'states'], ['region', 'located', 'census', 'province', 'population', 'district', 'city', 'season', 'tropical', 'area', 'county', 'municipality'], ['south', 'town', 'river', 'building', 'railway', 'built', 'historic', 'city', 'county', 'station', 'located', 'district'], ['extinct', 'small', 'sea', 'described', 'fish', 'found', 'known', 'genus', 'species', 'also', 'family', 'america'], ['town', 'region', 'united', 'army', 'force', 'air', 'district', 'th', 'population', 'czech', 'municipality', 'republic'], ['national', 'world', 'footballer', 'played', 'plays', 'former', 'team', 'professional', 'club', 'midfielder', 'player', 'football'], ['singer', 'actor', 'politician', 'first', 'served', 'band', 'best', 'member', 'also', 'film', 'american', 'known']]}"
3,"{'topics': [['region', 'state', 'located', 'census', 'province', 'town', 'district', 'city', 'area', 'county', 'population', 'municipality'], ['us', 'town', 'state', 'townships', 'county', 'states', 'population', 'city', 'census', 'township', 'united'], ['city', 'region', 'railway', 'station', 'located', 'france', 'district', 'county', 'commune', 'department', 'town', 'municipality'], ['used', 'service', 'uss', 'ships', 'war', 'first', 'united', 'ship', 'navy', 'built', 'states', 'world'], ['park', 'river', 'built', 'building', 'historic', 'city', 'district', 'house', 'area', 'church', 'county', 'located'], ['republic', 'first', 'district', 'south', 'one', 'municipality', 'known', 'family', 'species', 'found', 'also', 'genus'], ['national', 'league', 'former', 'plays', 'club', 'footballer', 'midfielder', 'played', 'professional', 'player', 'team', 'football'], ['one', 'politician', 'member', 'film', 'world', 'band', 'served', 'american', 'known', 'also', 'best', 'first']]}"
4,"{'topics': [['statistical', 'town', 'state', 'townships', 'census', 'county', 'states', 'population', 'city', 'township', 'united'], ['region', 'state', 'located', 'province', 'town', 'census', 'population', 'area', 'municipality', 'district', 'county', 'city'], ['midfielder', 'former', 'played', 'championships', 'world', 'club', 'player', 'football', 'team', 'footballer', 'professional', 'plays'], ['singer', 'actor', 'politician', 'first', 'served', 'best', 'member', 'band', 'also', 'known', 'film', 'american'], ['south', 'area', 'river', 'town', 'railway', 'city', 'building', 'historic', 'county', 'district', 'located', 'station'], ['used', 'world', 'force', 'built', 'navy', 'war', 'air', 'states', 'first', 'aircraft', 'ship', 'united'], ['common', 'also', 'sea', 'fish', 'described', 'known', 'found', 'extinct', 'species', 'family', 'genus', 'america'], ['force', 'th', 'czech', 'region', 'town', 'population', 'united', 'republic', 'army', 'district', 'air', 'municipality']]}"
5,"{'topics': [['us', 'townships', 'county', 'town', 'states', 'census', 'township', 'united', 'population', 'state', 'city'], ['region', 'located', 'population', 'district', 'tropical', 'province', 'census', 'city', 'season', 'area', 'county', 'municipality'], ['common', 'america', 'municipality', 'native', 'south', 'one', 'found', 'also', 'family', 'genus', 'known', 'species'], ['band', 'best', 'world', 'player', 'known', 'professional', 'former', 'american', 'film', 'first', 'also', 'played'], ['uss', 'class', 'world', 'air', 'aircraft', 'united', 'first', 'states', 'navy', 'war', 'ship', 'built'], ['area', 'south', 'building', 'town', 'river', 'railway', 'historic', 'city', 'county', 'district', 'station', 'located']]}"
6,"{'topics': [['us', 'town', 'townships', 'state', 'city', 'township', 'states', 'united', 'county', 'population', 'census'], ['town', 'located', 'province', 'census', 'season', 'district', 'county', 'city', 'area', 'tropical', 'municipality', 'population'], ['common', 'america', 'found', 'municipality', 'south', 'also', 'family', 'native', 'one', 'known', 'species', 'genus'], ['service', 'first', 'uss', 'states', 'united', 'world', 'built', 'air', 'ship', 'navy', 'war', 'aircraft'], ['national', 'world', 'midfielder', 'former', 'played', 'club', 'professional', 'football', 'player', 'plays', 'team', 'footballer'], ['one', 'actor', 'politician', 'member', 'band', 'best', 'film', 'first', 'known', 'served', 'american', 'also'], ['city', 'railway', 'town', 'county', 'station', 'district', 'department', 'commune', 'france', 'municipality', 'located', 'region'], ['south', 'county', 'built', 'city', 'building', 'district', 'river', 'historic', 'church', 'located', 'area', 'house']]}"
7,"{'topics': [['townships', 'us', 'town', 'state', 'city', 'township', 'census', 'states', 'population', 'county', 'united'], ['region', 'located', 'season', 'tropical', 'municipality', 'district', 'county', 'area', 'census', 'province', 'population', 'city'], ['south', 'town', 'building', 'river', 'railway', 'built', 'county', 'city', 'historic', 'district', 'station', 'located'], ['currently', 'national', 'former', 'club', 'player', 'midfielder', 'played', 'football', 'team', 'professional', 'plays', 'footballer'], ['one', 'actor', 'best', 'known', 'also', 'band', 'film', 'american', 'member', 'politician', 'served', 'first'], ['region', 'force', 'czech', 'town', 'located', 'th', 'population', 'republic', 'air', 'district', 'municipality', 'army'], ['fish', 'america', 'sea', 'also', 'genus', 'common', 'found', 'family', 'native', 'known', 'plant', 'species']]}"
8,"{'topics': [['located', 'state', 'town', 'united', 'population', 'county', 'township', 'area', 'states', 'municipality', 'city', 'census'], ['common', 'america', 'municipality', 'native', 'south', 'also', 'one', 'known', 'genus', 'found', 'species', 'family'], ['south', 'building', 'river', 'railway', 'town', 'historic', 'city', 'county', 'district', 'station', 'built', 'located'], ['currently', 'national', 'plays', 'played', 'midfielder', 'professional', 'team', 'football', 'player', 'former', 'footballer', 'club'], ['actor', 'politician', 'served', 'member', 'one', 'best', 'known', 'first', 'band', 'american', 'film', 'also']]}"
9,"{'topics': [['tropical', 'town', 'state', 'municipality', 'township', 'area', 'city', 'population', 'county', 'states', 'united', 'census'], ['draft', 'played', 'baseball', 'college', 'league', 'football', 'former', 'basketball', 'professional', 'player', 'hockey', 'american'], ['population', 'located', 'one', 'known', 'czech', 'th', 'municipality', 'army', 'district', 'also', 'air', 'republic'], ['small', 'also', 'bird', 'america', 'common', 'native', 'plant', 'family', 'known', 'genus', 'species', 'found'], ['uss', 'first', 'world', 'class', 'aircraft', 'states', 'air', 'ship', 'war', 'built', 'navy', 'united'], ['church', 'area', 'located', 'city', 'river', 'district', 'building', 'historic', 'station', 'railway', 'town', 'county'], ['national', 'played', 'midfielder', 'player', 'club', 'former', 'football', 'plays', 'professional', 'footballer', 'team'], ['one', 'politician', 'actor', 'served', 'member', 'first', 'known', 'band', 'also', 'best', 'film', 'american']]}"
