,topics
0,"{'topics': [['built', 'united', 'county', 'also', 'first', 'one', 'city', 'known', 'new', 'located'], ['america', 'common', 'known', 'bird', 'found', 'genus', 'family', 'endemic', 'native', 'species'], ['professional', 'district', 'known', 'american', 'located', 'region', 'department', 'commune', 'municipality', 'france'], ['south', 'village', 'miles', 'parish', 'london', 'north', 'railway', 'station', 'church', 'england'], ['state', 'historic', 'located', 'county', 'city', 'united', 'township', 'states', 'population', 'census']]}"
1,"{'topics': [['states', 'area', 'united', 'county', 'first', 'located', 'known', 'one', 'city', 'also'], ['eastern', 'northcentral', 'commune', 'department', 'southwestern', 'northern', 'northeastern', 'northwestern', 'france', 'region'], ['america', 'common', 'known', 'endemic', 'species', 'family', 'bird', 'genus', 'native', 'found'], ['state', 'town', 'city', 'united', 'county', 'states', 'census', 'located', 'population', 'township'], ['km', 'germany', 'city', 'region', 'village', 'town', 'province', 'municipality', 'located', 'district'], ['baseball', 'team', 'player', 'former', 'plays', 'footballer', 'professional', 'played', 'league', 'football'], ['french', 'first', 'singer', 'band', 'known', 'politician', 'actress', 'actor', 'american', 'best']]}"
2,"{'topics': [['area', 'new', 'county', 'united', 'first', 'located', 'city', 'known', 'one', 'also'], ['united', 'town', 'station', 'city', 'district', 'located', 'county', 'census', 'municipality', 'population'], ['plant', 'america', 'native', 'endemic', 'known', 'bird', 'found', 'genus', 'species', 'family'], ['plays', 'league', 'footballer', 'football', 'played', 'known', 'former', 'player', 'professional', 'american']]}"
3,"{'topics': [['area', 'county', 'also', 'first', 'united', 'one', 'known', 'new', 'located', 'city'], ['plant', 'america', 'species', 'known', 'native', 'endemic', 'genus', 'bird', 'family', 'found'], ['baseball', 'team', 'former', 'plays', 'player', 'league', 'played', 'footballer', 'professional', 'football'], ['member', 'actress', 'film', 'singer', 'band', 'best', 'american', 'politician', 'known', 'actor'], ['eastern', 'northern', 'southwestern', 'northeastern', 'northwestern', 'region', 'northcentral', 'department', 'france', 'commune'], ['town', 'located', 'historic', 'city', 'county', 'states', 'census', 'united', 'population', 'township'], ['town', 'republic', 'poland', 'district', 'voivodeship', 'gmina', 'village', 'municipality', 'region', 'czech'], ['state', 'switzerland', 'saxony', 'km', 'bavaria', 'germany', 'district', 'municipality', 'town'], ['city', 'km', 'river', 'region', 'province', 'de', 'brazil', 'state', 'located', 'municipality']]}"
4,"{'topics': [['county', 'new', 'two', 'united', 'first', 'one', 'city', 'known', 'located', 'also'], ['world', 'united', 'class', 'built', 'gun', 'navy', 'war', 'states', 'uss', 'ship'], ['eastern', 'northcentral', 'northern', 'northeastern', 'northwestern', 'southwestern', 'france', 'department', 'commune', 'region'], ['baseball', 'team', 'former', 'plays', 'player', 'league', 'footballer', 'played', 'football', 'professional'], ['state', 'historic', 'township', 'city', 'located', 'population', 'census', 'county', 'united', 'states'], ['french', 'also', 'band', 'singer', 'best', 'actress', 'actor', 'politician', 'known', 'american'], ['known', 'plant', 'found', 'native', 'genus', 'bird', 'family', 'species', 'endemic', 'america'], ['village', 'river', 'parish', 'miles', 'north', 'bridge', 'railway', 'station', 'london', 'england'], ['km', 'germany', 'city', 'town', 'region', 'municipality', 'province', 'located', 'village', 'district']]}"
5,"{'topics': [['new', 'area', 'county', 'united', 'first', 'one', 'also', 'known', 'located', 'city'], ['eastern', 'northern', 'northeastern', 'northwestern', 'northcentral', 'southwestern', 'region', 'department', 'france', 'commune'], ['america', 'common', 'known', 'bird', 'endemic', 'native', 'found', 'family', 'genus', 'species'], ['baseball', 'team', 'former', 'player', 'plays', 'football', 'professional', 'played', 'league', 'footballer'], ['french', 'member', 'actress', 'singer', 'band', 'best', 'american', 'known', 'politician', 'actor'], ['scotland', 'village', 'parish', 'church', 'north', 'station', 'london', 'miles', 'railway', 'england'], ['state', 'historic', 'township', 'located', 'population', 'united', 'city', 'states', 'census', 'county'], ['prefecture', 'line', 'city', 'province', 'district', 'located', 'thailand', 'japan', 'china', 'station'], ['city', 'km', 'district', 'province', 'region', 'town', 'located', 'germany', 'village', 'municipality']]}"
6,"{'topics': [['county', 'united', 'built', 'area', 'known', 'city', 'first', 'one', 'located', 'also'], ['town', 'historic', 'city', 'located', 'census', 'population', 'states', 'county', 'united', 'township'], ['plant', 'known', 'america', 'bird', 'endemic', 'found', 'native', 'genus', 'family', 'species'], ['eastern', 'northcentral', 'northern', 'northwestern', 'northeastern', 'southwestern', 'region', 'france', 'commune', 'department'], ['baseball', 'team', 'former', 'plays', 'player', 'league', 'footballer', 'professional', 'played', 'football'], ['km', 'city', 'state', 'municipality', 'district', 'region', 'germany', 'province', 'located', 'town'], ['served', 'member', 'actress', 'best', 'band', 'singer', 'actor', 'known', 'american', 'politician']]}"
7,"{'topics': [['states', 'area', 'county', 'united', 'one', 'known', 'also', 'first', 'city', 'located'], ['america', 'common', 'bird', 'known', 'endemic', 'family', 'found', 'native', 'species', 'genus'], ['eastern', 'northern', 'northcentral', 'region', 'commune', 'northwestern', 'northeastern', 'department', 'france', 'southwestern'], ['state', 'historic', 'city', 'located', 'population', 'united', 'township', 'states', 'census', 'county'], ['north', 'london', 'railway', 'england', 'church', 'parish', 'station', 'miles', 'line', 'village'], ['population', 'km', 'village', 'town', 'located', 'municipality', 'germany', 'district', 'province', 'region'], ['taiwan', 'station', 'philippines', 'city', 'india', 'thailand', 'located', 'district', 'china', 'province'], ['baseball', 'team', 'league', 'former', 'footballer', 'plays', 'football', 'played', 'professional', 'player'], ['french', 'member', 'singer', 'politician', 'actor', 'american', 'known', 'best', 'actress', 'band']]}"
8,"{'topics': [['built', 'united', 'first', 'one', 'city', 'area', 'known', 'located', 'also', 'county'], ['state', 'historic', 'located', 'population', 'census', 'county', 'states', 'township', 'city', 'united'], ['america', 'common', 'known', 'bird', 'endemic', 'native', 'genus', 'family', 'found', 'species'], ['baseball', 'professional', 'former', 'footballer', 'player', 'league', 'football', 'team', 'played', 'plays'], ['metro', 'city', 'taiwan', 'prefecture', 'located', 'district', 'line', 'china', 'japan', 'station'], ['member', 'actress', 'singer', 'best', 'french', 'band', 'known', 'politician', 'actor', 'american'], ['administrative', 'poland', 'voivodeship', 'district', 'gmina', 'republic', 'region', 'czech', 'village', 'municipality'], ['km', 'capital', 'town', 'province', 'municipality', 'district', 'located', 'city', 'region', 'state'], ['scotland', 'village', 'north', 'london', 'church', 'parish', 'railway', 'england', 'miles', 'station'], ['austrian', 'state', 'germany', 'municipality', 'bavaria', 'km', 'town', 'saxony', 'district'], ['eastern', 'northern', 'northwestern', 'northcentral', 'region', 'department', 'southwestern', 'france', 'commune', 'northeastern']]}"
9,"{'topics': [['area', 'new', 'county', 'built', 'city', 'first', 'known', 'located', 'one', 'also'], ['world', 'car', 'ship', 'aircraft', 'uss', 'war', 'designed', 'produced', 'built', 'navy'], ['historic', 'town', 'city', 'located', 'census', 'county', 'population', 'states', 'united', 'township'], ['common', 'america', 'known', 'native', 'bird', 'endemic', 'found', 'genus', 'family', 'species'], ['eastern', 'northcentral', 'northeastern', 'northern', 'northwestern', 'southwestern', 'region', 'department', 'commune', 'france'], ['city', 'germany', 'km', 'town', 'province', 'village', 'region', 'municipality', 'located', 'district'], ['basketball', 'former', 'football', 'team', 'player', 'league', 'plays', 'footballer', 'played', 'professional'], ['member', 'french', 'singer', 'known', 'american', 'actor', 'actress', 'band', 'politician', 'best']]}"
