,topics
0,"{'topics': [['district', 'state', 'town', 'united', 'population', 'municipality', 'states', 'census', 'city', 'area', 'county', 'township'], ['royal', 'uss', 'aircraft', 'first', 'world', 'united', 'navy', 'built', 'war', 'air', 'states', 'ship'], ['area', 'south', 'building', 'town', 'county', 'historic', 'station', 'located', 'district', 'railway', 'city', 'river'], ['located', 'region', 'czech', 'force', 'town', 'population', 'th', 'municipality', 'army', 'republic', 'district', 'air'], ['hockey', 'former', 'basketball', 'league', 'national', 'team', 'professional', 'football', 'played', 'player', 'footballer', 'plays'], ['common', 'also', 'america', 'described', 'family', 'sea', 'extinct', 'species', 'found', 'fish', 'known', 'genus'], ['one', 'actor', 'politician', 'known', 'american', 'best', 'first', 'film', 'band', 'also', 'served', 'member']]}"
1,"{'topics': [['district', 'state', 'states', 'city', 'census', 'county', 'population', 'municipality', 'area', 'town', 'united', 'township'], ['area', 'south', 'town', 'historic', 'building', 'railway', 'river', 'city', 'located', 'station', 'district', 'county'], ['force', 'uss', 'air', 'world', 'aircraft', 'first', 'united', 'built', 'navy', 'ship', 'war', 'states'], ['club', 'former', 'football', 'world', 'national', 'basketball', 'footballer', 'team', 'professional', 'player', 'played', 'plays'], ['army', 'known', 'species', 'family', 'district', 'also', 'first', 'found', 'municipality', 'air', 'genus', 'one'], ['singer', 'actor', 'politician', 'member', 'known', 'best', 'served', 'also', 'first', 'band', 'film', 'american']]}"
2,"{'topics': [['hockey', 'basketball', 'former', 'national', 'league', 'team', 'professional', 'football', 'player', 'plays', 'footballer', 'played'], ['district', 'state', 'town', 'municipality', 'population', 'united', 'states', 'county', 'city', 'township', 'census', 'area'], ['area', 'south', 'town', 'river', 'building', 'historic', 'city', 'district', 'railway', 'located', 'county', 'station'], ['ii', 'royal', 'first', 'aircraft', 'uss', 'war', 'ship', 'states', 'world', 'navy', 'united', 'built'], ['located', 'town', 'force', 'region', 'czech', 'municipality', 'th', 'population', 'air', 'republic', 'army', 'district'], ['subfamily', 'common', 'sea', 'america', 'described', 'extinct', 'fish', 'known', 'found', 'family', 'genus', 'species'], ['world', 'one', 'served', 'film', 'th', 'known', 'politician', 'also', 'american', 'war', 'french', 'first'], ['director', 'american', 'band', 'singer', 'film', 'album', 'best', 'music', 'actor', 'also', 'member', 'known']]}"
3,"{'topics': [['district', 'state', 'town', 'municipality', 'city', 'area', 'township', 'united', 'states', 'census', 'population', 'county'], ['royal', 'uss', 'united', 'war', 'navy', 'air', 'world', 'built', 'aircraft', 'first', 'states', 'ship'], ['south', 'church', 'river', 'town', 'building', 'district', 'city', 'located', 'historic', 'railway', 'station', 'county'], ['championships', 'player', 'club', 'played', 'national', 'world', 'football', 'team', 'plays', 'professional', 'footballer'], ['located', 'region', 'town', 'air', 'district', 'force', 'czech', 'republic', 'population', 'army', 'municipality', 'th'], ['america', 'described', 'genus', 'common', 'fish', 'known', 'extinct', 'also', 'species', 'family', 'found', 'sea'], ['directed', 'one', 'served', 'also', 'american', 'th', 'politician', 'first', 'french', 'known', 'film', 'war'], ['rock', 'actor', 'best', 'actress', 'member', 'known', 'band', 'american', 'singer', 'music', 'album', 'also']]}"
4,"{'topics': [['district', 'state', 'town', 'municipality', 'area', 'population', 'census', 'states', 'county', 'united', 'city', 'township'], ['area', 'south', 'river', 'city', 'station', 'railway', 'located', 'county', 'district', 'historic', 'building', 'town'], ['force', 'uss', 'first', 'world', 'war', 'aircraft', 'built', 'ship', 'states', 'air', 'navy', 'united'], ['first', 'army', 'air', 'district', 'also', 'genus', 'species', 'known', 'one', 'found', 'municipality', 'family'], ['club', 'former', 'football', 'world', 'national', 'played', 'player', 'basketball', 'team', 'plays', 'professional', 'footballer'], ['one', 'actor', 'politician', 'member', 'best', 'served', 'band', 'first', 'also', 'film', 'known', 'american']]}"
5,"{'topics': [['district', 'state', 'area', 'county', 'united', 'city', 'municipality', 'township', 'town', 'census', 'states', 'population'], ['south', 'area', 'town', 'river', 'building', 'historic', 'city', 'district', 'railway', 'county', 'station', 'located'], ['royal', 'uss', 'air', 'first', 'united', 'world', 'aircraft', 'states', 'ship', 'built', 'navy', 'war'], ['district', 'south', 'plant', 'native', 'one', 'municipality', 'also', 'known', 'family', 'found', 'genus', 'species'], ['club', 'former', 'player', 'basketball', 'national', 'professional', 'football', 'played', 'plays', 'team', 'footballer', 'world'], ['one', 'actor', 'politician', 'first', 'best', 'member', 'american', 'known', 'served', 'film', 'also', 'band']]}"
6,"{'topics': [['area', 'south', 'town', 'river', 'building', 'historic', 'railway', 'city', 'county', 'station', 'district', 'located'], ['force', 'air', 'navy', 'war', 'first', 'aircraft', 'ship', 'states', 'world', 'built', 'uss', 'united'], ['former', 'footballer', 'played', 'national', 'basketball', 'player', 'club', 'plays', 'team', 'professional', 'world', 'football'], ['singer', 'actor', 'best', 'politician', 'member', 'served', 'band', 'first', 'also', 'film', 'known', 'american'], ['district', 'state', 'area', 'town', 'township', 'municipality', 'city', 'county', 'population', 'states', 'united', 'census'], ['america', 'common', 'extinct', 'described', 'sea', 'genus', 'also', 'species', 'family', 'known', 'found', 'fish'], ['located', 'force', 'region', 'czech', 'th', 'town', 'population', 'republic', 'army', 'air', 'district', 'municipality']]}"
7,"{'topics': [['district', 'state', 'town', 'municipality', 'township', 'population', 'area', 'county', 'city', 'states', 'census', 'united'], ['force', 'uss', 'first', 'world', 'aircraft', 'united', 'states', 'air', 'built', 'ship', 'war', 'navy'], ['area', 'south', 'town', 'river', 'historic', 'railway', 'building', 'city', 'district', 'station', 'located', 'county'], ['former', 'world', 'football', 'league', 'national', 'player', 'footballer', 'plays', 'basketball', 'played', 'professional', 'team'], ['extinct', 'america', 'described', 'sea', 'fish', 'common', 'also', 'genus', 'species', 'found', 'known', 'family'], ['located', 'force', 'region', 'town', 'municipality', 'air', 'republic', 'district', 'th', 'army', 'czech', 'population'], ['director', 'member', 'best', 'american', 'music', 'known', 'film', 'album', 'band', 'actor', 'singer', 'also'], ['politician', 'french', 'war', 'also', 'american', 'world', 'served', 'known', 'one', 'th', 'film', 'first']]}"
8,"{'topics': [['district', 'state', 'town', 'municipality', 'area', 'united', 'census', 'states', 'city', 'population', 'township', 'county'], ['area', 'south', 'town', 'building', 'river', 'railway', 'historic', 'city', 'district', 'located', 'station', 'county'], ['royal', 'first', 'world', 'uss', 'air', 'states', 'aircraft', 'united', 'ship', 'war', 'navy', 'built'], ['club', 'former', 'national', 'played', 'basketball', 'world', 'player', 'football', 'footballer', 'professional', 'plays', 'team'], ['located', 'region', 'town', 'air', 'th', 'force', 'czech', 'army', 'population', 'municipality', 'republic', 'district'], ['america', 'species', 'also', 'known', 'extinct', 'family', 'genus', 'sea', 'described', 'fish', 'found', 'common'], ['singer', 'actor', 'politician', 'member', 'american', 'band', 'known', 'best', 'served', 'film', 'first', 'also']]}"
9,"{'topics': [['district', 'state', 'town', 'municipality', 'county', 'census', 'city', 'township', 'united', 'states', 'area', 'population'], ['force', 'uss', 'first', 'air', 'aircraft', 'world', 'states', 'ship', 'built', 'united', 'navy', 'war'], ['area', 'south', 'district', 'railway', 'county', 'station', 'historic', 'located', 'building', 'city', 'town', 'river'], ['football', 'world', 'hockey', 'basketball', 'national', 'league', 'played', 'footballer', 'player', 'professional', 'team', 'plays'], ['one', 'actor', 'politician', 'member', 'band', 'served', 'best', 'first', 'film', 'also', 'known', 'american'], ['region', 'located', 'czech', 'town', 'th', 'force', 'republic', 'population', 'air', 'army', 'district', 'municipality'], ['also', 'common', 'described', 'america', 'extinct', 'genus', 'fish', 'family', 'species', 'known', 'found', 'sea']]}"
