,topics
0,"{'topics': [['endemic', 'plant', 'small', 'common', 'known', 'america', 'also', 'native', 'found', 'genus', 'species', 'family'], ['united', 'states', 'area', 'town', 'municipality', 'district', 'census', 'station', 'population', 'city', 'county', 'located'], ['one', 'former', 'united', 'film', 'war', 'played', 'first', 'world', 'known', 'professional', 'also', 'american']]}"
1,"{'topics': [['endemic', 'small', 'common', 'known', 'family', 'species', 'native', 'genus', 'america', 'plant', 'found', 'also'], ['united', 'states', 'town', 'area', 'municipality', 'station', 'population', 'census', 'city', 'county', 'district', 'located'], ['football', 'film', 'played', 'war', 'united', 'former', 'world', 'american', 'known', 'professional', 'also', 'first']]}"
2,"{'topics': [['endemic', 'small', 'common', 'america', 'plant', 'also', 'family', 'genus', 'known', 'native', 'found', 'species'], ['one', 'national', 'former', 'world', 'known', 'united', 'played', 'war', 'american', 'first', 'also', 'professional'], ['united', 'states', 'town', 'area', 'municipality', 'located', 'city', 'population', 'station', 'county', 'district', 'census']]}"
3,"{'topics': [['endemic', 'small', 'america', 'also', 'plant', 'native', 'common', 'known', 'found', 'family', 'species', 'genus'], ['one', 'war', 'film', 'united', 'played', 'world', 'former', 'professional', 'first', 'known', 'also', 'american'], ['area', 'building', 'state', 'township', 'city', 'county', 'states', 'located', 'census', 'united', 'population', 'historic'], ['province', 'km', 'department', 'population', 'town', 'district', 'commune', 'region', 'city', 'municipality', 'located', 'station']]}"
4,"{'topics': [['endemic', 'plant', 'small', 'america', 'common', 'also', 'family', 'known', 'native', 'species', 'found', 'genus'], ['town', 'known', 'one', 'station', 'also', 'district', 'population', 'states', 'united', 'county', 'located', 'city']]}"
5,"{'topics': [['endemic', 'common', 'plant', 'small', 'also', 'america', 'species', 'native', 'found', 'known', 'genus', 'family'], ['film', 'former', 'united', 'one', 'war', 'world', 'professional', 'played', 'also', 'known', 'first', 'american'], ['united', 'states', 'area', 'census', 'town', 'municipality', 'station', 'district', 'city', 'located', 'population', 'county']]}"
6,"{'topics': [['endemic', 'common', 'small', 'plant', 'america', 'also', 'native', 'species', 'genus', 'found', 'family', 'known'], ['one', 'united', 'film', 'former', 'war', 'played', 'professional', 'also', 'known', 'first', 'american', 'world'], ['united', 'states', 'district', 'area', 'county', 'town', 'city', 'located', 'census', 'population', 'municipality', 'station']]}"
7,"{'topics': [['endemic', 'small', 'plant', 'common', 'species', 'native', 'america', 'family', 'found', 'also', 'known', 'genus'], ['town', 'station', 'known', 'district', 'city', 'states', 'one', 'located', 'county', 'united', 'population', 'also']]}"
8,"{'topics': [['endemic', 'plant', 'small', 'also', 'common', 'genus', 'native', 'family', 'america', 'species', 'found', 'known'], ['national', 'one', 'united', 'former', 'war', 'american', 'also', 'world', 'first', 'professional', 'known', 'played'], ['united', 'states', 'census', 'town', 'municipality', 'area', 'station', 'located', 'city', 'population', 'county', 'district']]}"
9,"{'topics': [['endemic', 'small', 'found', 'america', 'genus', 'also', 'plant', 'species', 'native', 'common', 'family', 'known'], ['one', 'former', 'war', 'played', 'film', 'united', 'world', 'first', 'professional', 'also', 'american', 'known'], ['united', 'states', 'area', 'municipality', 'town', 'census', 'county', 'station', 'district', 'located', 'population', 'city']]}"
